420774577451,13-01-2020 18:10:15,13-01-2020 18:12:57
420776562352,18-01-2020 08:59:20,18-01-2020 09:10:00
420776562353,18-01-2020 07:58:00,18-01-2020 08:02:00
420776562354,18-01-2020 15:59:00,18-01-2020 16:03:00
420776562355,19-01-2020 08:00:00,19-01-2020 08:04:59
420776562356,19-01-2020 09:00:00,19-01-2020 09:05:00
420776562357,19-01-2020 07:58:20,19-01-2020 08:10:00
420776562358,19-01-2020 08:59:20,19-01-2020 09:10:00
420776562350,20-01-2020 08:59:20,20-01-2020 09:10:00
420776562360,20-01-2020 08:59:20,20-01-2020 09:10:00
420776562353,20-01-2020 08:59:20,20-01-2020 09:10:00
420776562351,20-01-2020 08:59:20,20-01-2020 09:10:00
420776562353,20-01-2020 08:59:20,20-01-2020 09:10:00
420776562360,21-01-2020 08:59:20,21-01-2020 09:10:00
420776562360,21-01-2020 08:59:20,21-01-2020 09:10:00
420776562360,21-01-2020 08:59:20,21-01-2020 09:10:00
420776562353,21-01-2020 08:59:20,21-01-2020 09:10:00
420776562353,22-01-2020 08:59:20,22-01-2020 09:10:00
420776562353,22-01-2020 08:59:20,22-01-2020 09:10:00
420776562353,22-01-2020 08:59:20,22-01-2020 09:10:00
